season,team_page,player_link,playername,birth,pos,ht,wt,experience
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/PHO/2018.html,/players/b/bendedr01.html,Dragan Bender,ba,PF,7-0,225,1
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/BOS/2018.html,/players/a/allenka01.html,Kadeem Allen,us,PG,6-1,200,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/UTA/2018.html,/players/b/bradlto01.html,Tony Bradley,us,C,6-10,248,R
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/NYK/2018.html,/players/b/bakerro01.html,Ron Baker,us,SG,6-4,220,1
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/IND/2018.html,/players/a/anigbik01.html,Ike Anigbogu,us,C,6-10,250,R
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
2018,/teams/POR/2018.html,/players/a/aminual01.html,Al-Farouq Aminu,us,PF,6-8,220,7
